Product Price,Model Number,Processor Type,Processor Speed,RAM Size,Graphics Card,Screen Size,Operating System,Display Type,Storage Value,Storage Type,kmeans
7799.0,Asus ROG Strix G16 G614JIR-N4003,Intel Core i9-14900HX (14th Generation),2.2,32,NVIDIA GeForce RTX 4070 8GB,16.0,Dos,2k,1024,SSD M.2,4
2099.0,Lenovo IdeaPad Slim 3 15IRH8,Intel Core i5-13420H (13th Gen),1.5,8,Intel UHD Graphics,15.6,Windows 11 Home,Full HD,512,SSD M.2,1
8999.0,Lenovo Legion 7 16IRX9,Intel Core i9-14900HX (14th Generation),1.6,32,"NVIDIA GeForce RTX 4070 8GB GDDR6, Boost Clock 2175MHz, TGP 130W, 321 AI TOPS",16.0,Windows 11 Home,3.2K,1024,SSD M.2,4
2499.0,HP 15-fd0018nx,Intel Core i7-1355U (13th Gen),1.7,16,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
1549.0,Acer Aspire 3 A315-44P-R4GH,AMD Ryzen 7-5700U,1.8,8,AMD Radeon Graphics,15.6,Dos,Full HD,512,SSD M.2,1
13499.0,UX582ZW-OLED209W,Intel Core i9-12900H (12th Gen),2.5,32,NVIDIA GeForce RTX 3070 TI 8GB,15.6,Windows 11 Home,4k OLED,1024,SSD M.2,4
2099.0,Dell Inspiron 15 3520,Intel Core i5-1135G7 (11th Gen),2.4,8,Intel UHD Graphics,15.6,Windows 11 Home,Full HD,512,SSD M.2,1
2799.0,Dell Inspiron 14 7430 2-in-1,Intel Core i5-1335U (13th Gen),0.9,8,Intel Iris Xe Graphics,14.0,Windows 11 Home,Full HD,512,SSD M.2,1
2799.0,ThinkPad T14 Gen 5 (Intel),Intel Core Ultra 7-150U,1.7,16,Intel Integrated Graphics,14.0,Windows 11 Professional,WUXGA,512,SSD M.2,1
1499.0,Acer Aspire 3 A315-58-56K8,Intel Core i5-1135G7 (11th Gen),2.4,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,256,SSD M.2,1
1499.0,Dell Latitude 3540,Intel Core i5-1335U (13th Gen),0.9,8,NVIDIA GeForce MX550 2 GB,15.6,Dos,Full HD,512,SSD M.2,1
2499.0,Asus Vivobook X1605XA-MB101,AMD Ryzen 9-7940HS,4.0,16,AMD Radeon Graphics,16.0,Dos,WUXGA,512,SSD M.2,0
3699.0,Acer Nitro V 15 ANV15-51-76QR,Intel Core i7-13620H (13th Gen),2.4,16,NVIDIA GeForce RTX 4050 6GB,15.6,Dos,Full HD,1024,SSD M.2,4
3699.0,apple MacBook Air M2 (2024),Apple M2 chip,3.2,16,8-core GPU,13.6,macOS Monterey,Full HD,256,SSD,0
1999.0,HP ProBook 450 15.6 inch G9 Notebook PC,Intel Core i5-1235U (12th Gen),0.9,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
4549.0,Acer Nitro 5 AN515-58-937L,Intel Core i9-12900H (12th Gen),1.8,16,NVIDIA GeForce RTX 4060 8GB,15.6,Dos,Full HD,512,SSD M.2,1
3999.0,IdeaPad Gaming 3 15IAH7,Intel Core i7-12650H (12th Gen),2.3,16,NVIDIA GeForce RTX 3050 4GB,15.6,Dos,Full HD,512,SSD M.2,1
4999.0,MacBook Air M2 15.3,Apple M2 chip,3.2,8,10-core GPU,15.3,macOS Ventura,Full HD,256,SSD,0
849.0,ThinkPad X1 Carbon Gen 11,Intel Core i7-1355U (13th Gen),1.7,32,Intel Iris Xe Graphics,14.0,Windows 11 Professional,WUXGA,1024,SSD M.2,4
849.0,Dell Latitude 3440,Intel Core i5-1335U (13th Gen),0.9,8,Intel UHD Graphics,14.0,Dos,Full HD,512,SSD M.2,1
1699.0,Acer Aspire Lite AL16-51P-598C,Intel Core i5-1235U (12th Gen),1.3,8,Intel UHD Graphics,16.0,Dos,WUXGA,512,SSD M.2,1
5399.0,Dell G15 5530 Gaming,Intel Core i7-13650HX (13th Gen),1.9,16,NVIDIA GeForce RTX 4050 6GB,15.6,Dos,Full HD,512,SSD M.2,1
2849.0,Asus Vivobook X1605VA-FPSK60,Intel Core i9-13900H (13th Gen),2.6,16,Intel Iris Xe Graphics,16.0,Dos,WUXGA,512,SSD M.2,0
4799.0,HP Victus Gaming 16-r0008nx,Intel Core i7-13700H (13th Gen),1.6,32,NVIDIA GeForce RTX 4050 6GB,16.1,Dos,Full HD,1024,SSD M.2,4
8299.0,Apple MacBook Pro 14-inch M3 chip,Apple M3 chip,3.4,16,10-core GPU,14.2,macOS Sonoma,Full HD,512,SSD,0
3899.0,Dell G15 5530 Gaming,Intel Core i7-13650HX (13th Gen),1.9,16,NVIDIA GeForce RTX 3050 6GB,15.6,Dos,Full HD,512,SSD M.2,1
2299.0,Asus EXPERTBOOK B1400CBA-EB0355,Intel Core i7-1255U (12th Gen),1.7,16,Intel Iris Xe Graphics,14.0,Dos,Full HD,512,SSD M.2,1
1899.0,Dell Inspiron 15 3520,Intel Core i5-1135G7 (11th Gen),2.4,8,Intel UHD Graphics,15.6,Windows 11 Home,Full HD,256,SSD M.2,1
2349.0,Asus Vivobook X1502ZA-EJ1359,Intel Core i7-12700H (12th Gen),2.3,16,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
10999.0,Apple MacBook Pro 14-Inch M3 Pro,Apple M3 Pro chip,3.5,18,18-core GPU,14.2,macOS Sonoma,Full HD,1024,SSD,0
1799.0,HP 255 G9,AMD Ryzen 7-5825U,2.0,8,AMD Radeon Graphics,15.6,Dos,Full HD,256,SSD M.2,1
3699.0,ASUS ROG Strix G15 G513RC-HN148,AMD Ryzen 7-6800H,3.2,16,NVIDIA GeForce RTX 3050 4GB,15.6,Dos,Full HD,1024,SSD M.2,4
4999.0,apple MacBook Air M2,Apple M2 chip,3.2,8,10-core GPU,13.6,macOS Monterey,Full HD,512,SSD,0
2199.0,IdeaPad 1 15IAU7,Intel Core i7-1255U (12th Gen),1.7,16,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
3799.0,Acer Nitro 5 AN515-58-77NB,Intel Core i7-12650H (12th Gen),2.7,16,NVIDIA GeForce RTX 4050 6GB,15.6,Dos,Full HD,512,SSD M.2,0
2499.0,Asus ExpertBook B1 (B1402CVA-I716512B0D - 13th Gen Intel),Intel Core i7-1355U (13th Gen),1.7,16,Intel UHD Graphics,14.0,Dos,Full HD,512,SSD M.2,1
1499.0,Acer Aspire 3 A315-58-58PT,Intel Core i5-1135G7 (11th Gen),2.4,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,256,SSD M.2,1
1849.0,HP 250 G10,Intel Core i5-1335U (13th Gen),0.9,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
1749.0,IdeaPad Slim 3 16IAH8,Intel Core i5-12450H (12th Gen),1.5,8,Intel UHD Graphics,16.0,Dos,WUXGA,512,SSD M.2,1
1599.0,Asus Vivobook X1500EA-EJ3652,Intel Core i5-1135G7 (11th Gen),2.4,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
3699.0,ASUS ROG Strix G15 G513RC-HN092,AMD Ryzen 7-6800H,3.2,16,NVIDIA GeForce RTX 3050 4GB,15.6,Dos,Full HD,512,SSD M.2,0
5499.0,Yoga 9 14IAP7,Intel Core i7-1260P (12th Gen),2.1,16,Intel Iris Xe Graphics,14.0,Windows 11 Home,4k,1024,SSD M.2,4
5499.0,ThinkBook 14 G4 IAP,Intel Core i5-1235U (12th Gen),1.3,8,Intel Iris Xe Graphics,14.0,Windows 11 Professional,Full HD,512,SSD M.2,1
3499.0,Microsoft Surface Pro 9,Intel Core i5-1245U (12th Gen) Evo Platform,1.2,8,Intel Iris Xe Graphics,13.0,Windows 11 Home,Full HD,256,SSD M.2,1
2699.0,Lenovo IdeaPad Flex 5 14IRU8,Intel Core i5-1335U (13th Gen),1.3,8,Intel Iris Xe Graphics,14.0,Windows 11 Home,WUXGA,512,SSD M.2,1
1999.0,Huawei Matebook B3-420,Intel Core i5-1135G7 (11th Gen),2.4,16,Intel Iris Xe Graphics,14.0,Windows 10 Professional,Full HD,512,SSD M.2,1
1599.0,Asus Vivobook X1502ZA-EJ1038,Intel Core i5-1235U (12th Gen),1.3,8,Intel Iris Xe Graphics,15.6,Dos,Full HD,512,SSD M.2,1
1599.0,ThinkPad T14s Gen 4 (Intel),Intel Core i7-1355U (13th Gen),1.7,16,Intel Iris Xe Graphics,14.0,Windows 11 Professional,WUXGA,512,SSD M.2,1
